"username","password","statusCode","scenario"
"user1","pass1",200,"successful operation"
"user2","pass2",200,"successful operation"
"invalidUser1","wrongPass1",400,"Invalid username/password supplied"
"invalidUser2","wrongPass2",400,"Invalid username/password supplied"
"user3","pass3",200,"successful operation"
"user4","pass4",200,"successful operation"
"invalidUser3","wrongPass3",400,"Invalid username/password supplied"
"invalidUser4","wrongPass4",400,"Invalid username/password supplied"
"user5","pass5",200,"successful operation"
"user6","pass6",200,"successful operation"
"invalidUser5","wrongPass5",400,"Invalid username/password supplied"
"invalidUser6","wrongPass6",400,"Invalid username/password supplied"
